zip,City,mean_ret,low_ret,high_ret,order,seasonal_order
77379,Tomball,1.0634201351349852,0.7826302827473638,1.4388082851422386,"(0, 1, 1)","(0, 0, 0, 12)"
75243,Dallas,1.1550546009353515,0.603102620836532,2.171709946100219,"(0, 1, 1)","(0, 0, 1, 12)"
11221,New York,1.2215309607677538,0.6947483632215843,2.120178487680254,"(0, 1, 3)","(0, 0, 0, 12)"
78245,San Antonio,1.0830782266392422,0.8160565963980257,1.4324512855185922,"(1, 0, 3)","(2, 0, 1, 12)"
11229,New York,1.2142874445983018,0.9031078526133542,1.6266331262923985,"(3, 0, 2)","(0, 0, 0, 12)"
8701,Lakewood,0.9944595809350086,0.7707629144790081,1.2797344380517106,"(0, 0, 2)","(0, 0, 1, 12)"
60619,Chicago,0.9996338302812013,0.5536373954087808,1.77989180756549,"(0, 0, 2)","(0, 0, 1, 12)"
90034,Los Angeles,1.0069522428721995,0.6866032443893482,1.4680569324421697,"(0, 0, 2)","(0, 0, 0, 12)"
94110,San Francisco,1.1124017935075536,0.4525242910802359,2.6398778773160494,"(0, 1, 1)","(2, 0, 0, 12)"
78666,San Marcos,1.0809092361401498,0.7533367394465393,1.542623698272136,"(1, 0, 2)","(0, 0, 1, 12)"
30024,Suwanee,0.996027578355735,0.7901690736208138,1.2526948323476046,"(1, 0, 2)","(0, 0, 1, 12)"
60610,Chicago,0.9396497540938548,0.7259206854906108,1.2130390297281648,"(1, 0, 2)","(2, 0, 1, 12)"
44107,Lakewood,1.1569114902947026,0.7185507317155092,1.8438725404412952,"(0, 1, 1)","(0, 0, 1, 12)"
75067,Lewisville,1.2294936853469698,1.028772378719046,1.4674878830681217,"(2, 1, 3)","(0, 0, 0, 12)"
33025,Miramar,1.087187988361567,0.7637298256176782,1.5394568489388698,"(1, 0, 1)","(0, 0, 0, 12)"
33411,Royal Palm Beach,1.1111241015364641,0.8746192323495803,1.4081832489557353,"(1, 1, 3)","(0, 0, 0, 12)"
33139,Miami Beach,1.0169304341131975,0.64679121163485,1.5857959293919976,"(1, 1, 3)","(0, 0, 0, 12)"
11377,New York,1.0085766023120202,0.7666272826907808,1.3228112692032092,"(0, 0, 3)","(0, 0, 0, 12)"
90044,Los Angeles,1.008259558693683,0.7377515605603658,1.372578935307492,"(0, 0, 2)","(0, 0, 0, 12)"
48197,Ypsilanti,1.0284137122103862,0.7880765944547417,1.338231990062242,"(0, 0, 2)","(0, 0, 1, 12)"
2169,Quincy,1.1432058049240756,0.9627335834195827,1.3558838868934449,"(0, 0, 1)","(1, 0, 0, 12)"
23462,Virginia Beach,1.0103160980195938,0.8181906398708868,1.245287798464033,"(1, 0, 2)","(0, 0, 0, 12)"
90805,Long Beach,1.0246827795743865,0.8245921637663512,1.2708110035768883,"(1, 0, 1)","(0, 0, 0, 12)"
66062,Olathe,1.1118891442120125,0.9464986015337897,1.3047617627096375,"(2, 1, 2)","(0, 0, 0, 12)"
44035,Elyria,1.0056649115881882,0.7841362919819675,1.286560991317458,"(1, 0, 2)","(1, 0, 0, 12)"
95630,Folsom,0.9965998516283702,0.7979154812094738,1.2422764249949105,"(0, 0, 2)","(0, 0, 0, 12)"
90650,Norwalk,1.0305362202544988,0.8220217258415834,1.289156003420422,"(1, 0, 3)","(0, 0, 0, 12)"
11234,New York,1.1839512488699961,0.7473856483101368,1.858042153139192,"(0, 1, 0)","(0, 0, 0, 12)"
92683,Westminster,1.0030383965163123,0.8271210984112538,1.2145308700686184,"(0, 0, 2)","(0, 0, 0, 12)"
85710,Tucson,1.0514352005868217,0.853112799675785,1.2935574127443104,"(0, 0, 2)","(0, 0, 1, 12)"
78745,Austin,0.9663472096687378,0.6723925736169419,1.3809423116577357,"(1, 0, 1)","(0, 0, 1, 12)"
11355,New York,1.1999378876308386,1.0172290581508125,1.4139127280315347,"(1, 1, 3)","(0, 0, 1, 12)"
10314,New York,1.224757831269168,1.0187371061494768,1.4704053465796871,"(1, 1, 3)","(0, 0, 0, 12)"
30281,Stockbridge,1.0734071587969891,0.7380050476626576,1.5518426998513681,"(2, 1, 0)","(0, 0, 0, 12)"
32210,Jacksonville,1.285001125289402,0.4238079625199286,3.6964626391168296,"(0, 1, 1)","(2, 0, 0, 12)"
37075,Hendersonville,1.0285016956245063,0.8394722454939294,1.257977298610875,"(0, 0, 2)","(0, 0, 1, 12)"
94558,Napa,1.1482713985017783,0.8450472874162688,1.5543055556969576,"(3, 1, 2)","(0, 0, 0, 12)"
11215,New York,1.0837295497966344,0.5548088294773547,2.0756363745873267,"(0, 1, 3)","(2, 0, 0, 12)"
90026,Los Angeles,0.9917018168960584,0.6669052636516333,1.4650577134608678,"(1, 0, 2)","(0, 0, 0, 12)"
85225,Chandler,1.0755776205725665,0.8679940569074944,1.3302384445935869,"(1, 0, 1)","(0, 0, 0, 12)"
91910,Chula Vista,1.0080883487492096,0.8071853050800862,1.256436751443605,"(1, 0, 1)","(0, 0, 0, 12)"
87111,Albuquerque,1.04206957628282,0.7898291480319323,1.3705467728710308,"(3, 0, 2)","(0, 0, 1, 12)"
